track_name,track_pop,artist,album,length,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Cupid – Twin Ver. (FIFTY FIFTY) – Sped Up Version,85,sped up 8282,Cupid – Twin Ver. (FIFTY FIFTY) – Sped Up Version,145200,spotify:track:3B228N0GxfUCwPyfNcJxps,0.737,0.725,5,-7.989,1,0.0414,0.417,0.00129,0.0895,0.746,144.069,audio_features,3B228N0GxfUCwPyfNcJxps,spotify:track:3B228N0GxfUCwPyfNcJxps,https://api.spotify.com/v1/tracks/3B228N0GxfUCwPyfNcJxps,https://api.spotify.com/v1/audio-analysis/3B228N0GxfUCwPyfNcJxps,145200,4
Miss You - Sped Up Version,72,Oliver Tree,Miss You (Sped Up Version),171701,spotify:track:4pH8cIlMI9NrTWcDiQbuRe,0.527,0.66,0,-10.692,1,0.0877,0.0141,0.0185,0.156,0.283,173.979,audio_features,4pH8cIlMI9NrTWcDiQbuRe,spotify:track:4pH8cIlMI9NrTWcDiQbuRe,https://api.spotify.com/v1/tracks/4pH8cIlMI9NrTWcDiQbuRe,https://api.spotify.com/v1/audio-analysis/4pH8cIlMI9NrTWcDiQbuRe,171702,4
The Lost Soul Down - Slowed & Reverb,80,NBSPLV,The Lost Soul Down (Slowed & Reverb),241111,spotify:track:5XtsfMFmpM401S6dbVaOQw,0.725,0.519,0,-10.367,1,0.0356,0.03,0.918,0.0876,0.351,90.041,audio_features,5XtsfMFmpM401S6dbVaOQw,spotify:track:5XtsfMFmpM401S6dbVaOQw,https://api.spotify.com/v1/tracks/5XtsfMFmpM401S6dbVaOQw,https://api.spotify.com/v1/audio-analysis/5XtsfMFmpM401S6dbVaOQw,241111,4
Daylight,98,David Kushner,Daylight,212953,spotify:track:1odExI7RdWc4BT515LTAwj,0.508,0.43,2,-9.475,0,0.0335,0.83,0.000441,0.093,0.324,130.09,audio_features,1odExI7RdWc4BT515LTAwj,spotify:track:1odExI7RdWc4BT515LTAwj,https://api.spotify.com/v1/tracks/1odExI7RdWc4BT515LTAwj,https://api.spotify.com/v1/audio-analysis/1odExI7RdWc4BT515LTAwj,212954,4
See You Again (feat. Kali Uchis),95,"Tyler, The Creator",Flower Boy,180386,spotify:track:7KA4W4McWYRpgf0fWsJZWB,0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,audio_features,7KA4W4McWYRpgf0fWsJZWB,spotify:track:7KA4W4McWYRpgf0fWsJZWB,https://api.spotify.com/v1/tracks/7KA4W4McWYRpgf0fWsJZWB,https://api.spotify.com/v1/audio-analysis/7KA4W4McWYRpgf0fWsJZWB,180387,4
Makeba,85,Jain,Zanaka (Deluxe),248986,spotify:track:4TNFLwe6DhtR3Wn1JKMqMJ,0.825,0.663,2,-9.414,1,0.0687,0.423,0.415,0.286,0.417,116.051,audio_features,4TNFLwe6DhtR3Wn1JKMqMJ,spotify:track:4TNFLwe6DhtR3Wn1JKMqMJ,https://api.spotify.com/v1/tracks/4TNFLwe6DhtR3Wn1JKMqMJ,https://api.spotify.com/v1/audio-analysis/4TNFLwe6DhtR3Wn1JKMqMJ,248987,4
Flowers,96,Miley Cyrus,Flowers,200454,spotify:track:0yLdNVWF3Srea0uzk55zFn,0.707,0.681,0,-4.325,1,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,audio_features,0yLdNVWF3Srea0uzk55zFn,spotify:track:0yLdNVWF3Srea0uzk55zFn,https://api.spotify.com/v1/tracks/0yLdNVWF3Srea0uzk55zFn,https://api.spotify.com/v1/audio-analysis/0yLdNVWF3Srea0uzk55zFn,200455,4
Boy's a Liar Pt. 2,94,PinkPantheress,Boy's a liar Pt. 2,131013,spotify:track:6AQbmUe0Qwf5PZnt4HmTXv,0.696,0.809,5,-8.254,1,0.05,0.252,0.000128,0.248,0.857,132.962,audio_features,6AQbmUe0Qwf5PZnt4HmTXv,spotify:track:6AQbmUe0Qwf5PZnt4HmTXv,https://api.spotify.com/v1/tracks/6AQbmUe0Qwf5PZnt4HmTXv,https://api.spotify.com/v1/audio-analysis/6AQbmUe0Qwf5PZnt4HmTXv,131013,4
Smooth Operator - C.I.S.C.O Edit,55,C.I.S.C.O,Smooth Operator (C.I.S.C.O Edit),413431,spotify:track:1PMNC9w22I2tpXjUTs0FyI,0.8,0.495,9,-11.454,0,0.0476,0.0129,0.723,0.0738,0.735,127.996,audio_features,1PMNC9w22I2tpXjUTs0FyI,spotify:track:1PMNC9w22I2tpXjUTs0FyI,https://api.spotify.com/v1/tracks/1PMNC9w22I2tpXjUTs0FyI,https://api.spotify.com/v1/audio-analysis/1PMNC9w22I2tpXjUTs0FyI,413431,4
On My Nek,49,rixh forever,On My Nek,168124,spotify:track:34XxAwSvncIXIuli0UZYmD,0.731,0.519,1,-7.175,1,0.288,0.0565,1.57e-05,0.106,0.17,139.883,audio_features,34XxAwSvncIXIuli0UZYmD,spotify:track:34XxAwSvncIXIuli0UZYmD,https://api.spotify.com/v1/tracks/34XxAwSvncIXIuli0UZYmD,https://api.spotify.com/v1/audio-analysis/34XxAwSvncIXIuli0UZYmD,168125,4
Blue Hair,87,TV Girl,Death of a Party Girl,217000,spotify:track:39sDitIeCMrVX2QyXHY46t,0.751,0.72,4,-6.376,1,0.0303,0.554,0.0497,0.258,0.884,135.73,audio_features,39sDitIeCMrVX2QyXHY46t,spotify:track:39sDitIeCMrVX2QyXHY46t,https://api.spotify.com/v1/tracks/39sDitIeCMrVX2QyXHY46t,https://api.spotify.com/v1/audio-analysis/39sDitIeCMrVX2QyXHY46t,217000,4
Sure Thing - Sped Up,82,Miguel,Sure Thing (Sped Up),150053,spotify:track:559SdaPI7mqy9IQiscuaMj,0.753,0.458,4,-12.52,0,0.123,0.0812,0.00413,0.209,0.662,105.057,audio_features,559SdaPI7mqy9IQiscuaMj,spotify:track:559SdaPI7mqy9IQiscuaMj,https://api.spotify.com/v1/tracks/559SdaPI7mqy9IQiscuaMj,https://api.spotify.com/v1/audio-analysis/559SdaPI7mqy9IQiscuaMj,150054,4
Angels Like You,94,Miley Cyrus,Plastic Hearts,196453,spotify:track:1daDRI9ahBonbWD8YcxOIB,0.672,0.642,5,-4.035,1,0.0313,0.0981,0.0,0.1,0.494,121.981,audio_features,1daDRI9ahBonbWD8YcxOIB,spotify:track:1daDRI9ahBonbWD8YcxOIB,https://api.spotify.com/v1/tracks/1daDRI9ahBonbWD8YcxOIB,https://api.spotify.com/v1/audio-analysis/1daDRI9ahBonbWD8YcxOIB,196453,4
Sunroof,36,Nicky Youre,Sunroof,163025,spotify:track:3RfTeIrWS8LNrfHYwechtt,0.768,0.716,10,-5.11,1,0.0404,0.35,0.0,0.15,0.841,131.43,audio_features,3RfTeIrWS8LNrfHYwechtt,spotify:track:3RfTeIrWS8LNrfHYwechtt,https://api.spotify.com/v1/tracks/3RfTeIrWS8LNrfHYwechtt,https://api.spotify.com/v1/audio-analysis/3RfTeIrWS8LNrfHYwechtt,163026,4
The Girl Next Door,41,Romerro,The Girl Next Door,248919,spotify:track:1XZizu0tn5Xjyl1GqIlf4p,0.686,0.424,0,-10.814,1,0.0815,0.308,0.0237,0.236,0.448,94.024,audio_features,1XZizu0tn5Xjyl1GqIlf4p,spotify:track:1XZizu0tn5Xjyl1GqIlf4p,https://api.spotify.com/v1/tracks/1XZizu0tn5Xjyl1GqIlf4p,https://api.spotify.com/v1/audio-analysis/1XZizu0tn5Xjyl1GqIlf4p,248919,4
Here With Me,76,d4vd,Here With Me,242484,spotify:track:78Sw5GDo6AlGwTwanjXbGh,0.574,0.469,4,-8.209,1,0.0254,0.534,9.21e-05,0.128,0.288,132.023,audio_features,78Sw5GDo6AlGwTwanjXbGh,spotify:track:78Sw5GDo6AlGwTwanjXbGh,https://api.spotify.com/v1/tracks/78Sw5GDo6AlGwTwanjXbGh,https://api.spotify.com/v1/audio-analysis/78Sw5GDo6AlGwTwanjXbGh,242485,4
Bad Habit,85,Steve Lacy,Bad Habit,232114,spotify:track:5CM4UuQ9Gnd6K2YyKGPMoK,0.686,0.507,1,-7.097,1,0.0357,0.626,7.51e-05,0.383,0.69,168.955,audio_features,5CM4UuQ9Gnd6K2YyKGPMoK,spotify:track:5CM4UuQ9Gnd6K2YyKGPMoK,https://api.spotify.com/v1/tracks/5CM4UuQ9Gnd6K2YyKGPMoK,https://api.spotify.com/v1/audio-analysis/5CM4UuQ9Gnd6K2YyKGPMoK,232115,4
sdp interlude,86,Travis Scott,Birds In The Trap Sing McKnight,191622,spotify:track:4gh0ZnHzaTMT1sDga7Ek0N,0.507,0.586,0,-8.15,0,0.0586,0.599,0.0544,0.118,0.588,108.164,audio_features,4gh0ZnHzaTMT1sDga7Ek0N,spotify:track:4gh0ZnHzaTMT1sDga7Ek0N,https://api.spotify.com/v1/tracks/4gh0ZnHzaTMT1sDga7Ek0N,https://api.spotify.com/v1/audio-analysis/4gh0ZnHzaTMT1sDga7Ek0N,191623,4
golden hour,22,JVKE,golden hour,209259,spotify:track:6GD1eomgaGT1Epto6Q5eAo,0.511,0.594,1,-4.799,0,0.0316,0.651,0.177,0.249,0.143,94.473,audio_features,6GD1eomgaGT1Epto6Q5eAo,spotify:track:6GD1eomgaGT1Epto6Q5eAo,https://api.spotify.com/v1/tracks/6GD1eomgaGT1Epto6Q5eAo,https://api.spotify.com/v1/audio-analysis/6GD1eomgaGT1Epto6Q5eAo,209260,3
Hate U,41,EOMALLZ,Gold Dreams,153286,spotify:track:5aeUcvHjTbgzwohJoQo4cI,0.612,0.731,6,-6.483,1,0.0411,0.0394,0.0,0.095,0.593,130.046,audio_features,5aeUcvHjTbgzwohJoQo4cI,spotify:track:5aeUcvHjTbgzwohJoQo4cI,https://api.spotify.com/v1/tracks/5aeUcvHjTbgzwohJoQo4cI,https://api.spotify.com/v1/audio-analysis/5aeUcvHjTbgzwohJoQo4cI,153287,4
Say Yes To Heaven,92,Lana Del Rey,Say Yes To Heaven,209156,spotify:track:6GGtHZgBycCgGBUhZo81xe,0.49,0.352,6,-11.577,0,0.0254,0.709,0.0856,0.114,0.166,99.992,audio_features,6GGtHZgBycCgGBUhZo81xe,spotify:track:6GGtHZgBycCgGBUhZo81xe,https://api.spotify.com/v1/tracks/6GGtHZgBycCgGBUhZo81xe,https://api.spotify.com/v1/audio-analysis/6GGtHZgBycCgGBUhZo81xe,209156,4
Bel Mercy,77,Jengi,Bel Mercy,169606,spotify:track:1635wWSdp29PO3GxYhy991,0.941,0.753,6,-4.905,1,0.0905,0.458,0.61,0.109,0.681,127.02,audio_features,1635wWSdp29PO3GxYhy991,spotify:track:1635wWSdp29PO3GxYhy991,https://api.spotify.com/v1/tracks/1635wWSdp29PO3GxYhy991,https://api.spotify.com/v1/audio-analysis/1635wWSdp29PO3GxYhy991,169606,4
B.O.T.A. (Baddest Of Them All),66,Eliza Rose,B.O.T.A. (Baddest Of Them All),358266,spotify:track:45bfH0GZvUyujIBiKRhXso,0.756,0.962,0,-7.526,1,0.0583,0.0671,0.703,0.194,0.749,136.981,audio_features,45bfH0GZvUyujIBiKRhXso,spotify:track:45bfH0GZvUyujIBiKRhXso,https://api.spotify.com/v1/tracks/45bfH0GZvUyujIBiKRhXso,https://api.spotify.com/v1/audio-analysis/45bfH0GZvUyujIBiKRhXso,358267,4
Creepin' (with The Weeknd & 21 Savage),95,Metro Boomin,HEROES & VILLAINS,221520,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,0.715,0.62,1,-6.005,0,0.0484,0.417,0.0,0.0822,0.172,97.95,audio_features,2dHHgzDwk4BJdRwy9uXhTO,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,https://api.spotify.com/v1/tracks/2dHHgzDwk4BJdRwy9uXhTO,https://api.spotify.com/v1/audio-analysis/2dHHgzDwk4BJdRwy9uXhTO,221520,4
Get In My Space,40,Clay County,Get In My Space,161379,spotify:track:6HAMfR0xn2qESc0kopBzvB,0.738,0.593,6,-8.638,1,0.111,0.491,1.07e-05,0.144,0.717,86.985,audio_features,6HAMfR0xn2qESc0kopBzvB,spotify:track:6HAMfR0xn2qESc0kopBzvB,https://api.spotify.com/v1/tracks/6HAMfR0xn2qESc0kopBzvB,https://api.spotify.com/v1/audio-analysis/6HAMfR0xn2qESc0kopBzvB,161379,4
Glimpse of Us,87,Joji,Glimpse of Us,233456,spotify:track:6xGruZOHLs39ZbVccQTuPZ,0.44,0.317,8,-9.258,1,0.0531,0.891,4.78e-06,0.141,0.268,169.914,audio_features,6xGruZOHLs39ZbVccQTuPZ,spotify:track:6xGruZOHLs39ZbVccQTuPZ,https://api.spotify.com/v1/tracks/6xGruZOHLs39ZbVccQTuPZ,https://api.spotify.com/v1/audio-analysis/6xGruZOHLs39ZbVccQTuPZ,233456,3
Just Wanna Rock,88,Lil Uzi Vert,Just Wanna Rock,123890,spotify:track:4FyesJzVpA39hbYvcseO2d,0.486,0.545,11,-7.924,1,0.0336,0.0652,0.00474,0.0642,0.0385,150.187,audio_features,4FyesJzVpA39hbYvcseO2d,spotify:track:4FyesJzVpA39hbYvcseO2d,https://api.spotify.com/v1/tracks/4FyesJzVpA39hbYvcseO2d,https://api.spotify.com/v1/audio-analysis/4FyesJzVpA39hbYvcseO2d,123891,4
Baby Girl,80,Disco Lines,Baby Girl,111074,spotify:track:2cSdAkzAf2T4j4aLvx4LLz,0.73,0.907,2,-3.72,1,0.0606,0.0921,0.114,0.23,0.249,120.968,audio_features,2cSdAkzAf2T4j4aLvx4LLz,spotify:track:2cSdAkzAf2T4j4aLvx4LLz,https://api.spotify.com/v1/tracks/2cSdAkzAf2T4j4aLvx4LLz,https://api.spotify.com/v1/audio-analysis/2cSdAkzAf2T4j4aLvx4LLz,111074,4
abcdefu,42,Aux Control,abcdefu,144720,spotify:track:6HdnJMzfArQj7CBBbtvT2R,0.763,0.828,1,-6.872,0,0.102,0.0291,0.191,0.443,0.277,125.062,audio_features,6HdnJMzfArQj7CBBbtvT2R,spotify:track:6HdnJMzfArQj7CBBbtvT2R,https://api.spotify.com/v1/tracks/6HdnJMzfArQj7CBBbtvT2R,https://api.spotify.com/v1/audio-analysis/6HdnJMzfArQj7CBBbtvT2R,144720,4
Unstoppable,48,MŪNTII,Unstoppable,172400,spotify:track:6FX9Mt9BDS9JaWBVgI3OaN,0.547,0.832,7,-3.169,0,0.0384,0.0169,0.0,0.193,0.456,149.945,audio_features,6FX9Mt9BDS9JaWBVgI3OaN,spotify:track:6FX9Mt9BDS9JaWBVgI3OaN,https://api.spotify.com/v1/tracks/6FX9Mt9BDS9JaWBVgI3OaN,https://api.spotify.com/v1/audio-analysis/6FX9Mt9BDS9JaWBVgI3OaN,172400,4
Moonlight,90,Kali Uchis,Moonlight,187557,spotify:track:2i2gDpKKWjvnRTOZRhaPh2,0.639,0.723,7,-6.462,0,0.0532,0.511,0.0,0.167,0.878,136.872,audio_features,2i2gDpKKWjvnRTOZRhaPh2,spotify:track:2i2gDpKKWjvnRTOZRhaPh2,https://api.spotify.com/v1/tracks/2i2gDpKKWjvnRTOZRhaPh2,https://api.spotify.com/v1/audio-analysis/2i2gDpKKWjvnRTOZRhaPh2,187558,4
The Ballet Girl,12,Aden Foyer,The Ballet Girl,201424,spotify:track:1yVBxI8TaIL86Rrmah83fd,0.694,0.816,1,-4.741,1,0.0293,0.0796,1.17e-06,0.103,0.601,118.036,audio_features,1yVBxI8TaIL86Rrmah83fd,spotify:track:1yVBxI8TaIL86Rrmah83fd,https://api.spotify.com/v1/tracks/1yVBxI8TaIL86Rrmah83fd,https://api.spotify.com/v1/audio-analysis/1yVBxI8TaIL86Rrmah83fd,201425,4
Turnt UP,29,Ydizz,Turnt UP,203650,spotify:track:7uynTUyBJRezIvfxwSMOmf,0.819,0.475,2,-11.624,1,0.276,0.133,0.0,0.0897,0.233,123.023,audio_features,7uynTUyBJRezIvfxwSMOmf,spotify:track:7uynTUyBJRezIvfxwSMOmf,https://api.spotify.com/v1/tracks/7uynTUyBJRezIvfxwSMOmf,https://api.spotify.com/v1/audio-analysis/7uynTUyBJRezIvfxwSMOmf,203651,4
Kill Bill,94,SZA,SOS,153946,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,audio_features,1Qrg8KqiBpW07V7PNxwwwL,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,https://api.spotify.com/v1/tracks/1Qrg8KqiBpW07V7PNxwwwL,https://api.spotify.com/v1/audio-analysis/1Qrg8KqiBpW07V7PNxwwwL,153947,4
Willing To Ride,31,ZayFr0mDaG,WoodG Baby,152320,spotify:track:0o8eD6QWHMh3iEwo9xCNSt,0.733,0.561,9,-8.459,1,0.181,0.195,1.63e-06,0.366,0.345,141.059,audio_features,0o8eD6QWHMh3iEwo9xCNSt,spotify:track:0o8eD6QWHMh3iEwo9xCNSt,https://api.spotify.com/v1/tracks/0o8eD6QWHMh3iEwo9xCNSt,https://api.spotify.com/v1/audio-analysis/0o8eD6QWHMh3iEwo9xCNSt,152320,4
Apocalypse,86,Cigarettes After Sex,Cigarettes After Sex,290616,spotify:track:0yc6Gst2xkRu0eMLeRMGCX,0.37,0.467,5,-9.013,1,0.0273,0.0205,0.572,0.109,0.182,94.485,audio_features,0yc6Gst2xkRu0eMLeRMGCX,spotify:track:0yc6Gst2xkRu0eMLeRMGCX,https://api.spotify.com/v1/tracks/0yc6Gst2xkRu0eMLeRMGCX,https://api.spotify.com/v1/audio-analysis/0yc6Gst2xkRu0eMLeRMGCX,290617,4
