track_name,track_pop,artist,album,length,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Atlantis,88,Seafret,Tell Me It's Real (Expanded Edition),229173,spotify:track:1Fid2jjqsHViMX6xNH70hE,0.4,0.479,8,-7.989,0,0.0308,0.0529,2.14e-06,0.115,0.213,166.159,audio_features,1Fid2jjqsHViMX6xNH70hE,spotify:track:1Fid2jjqsHViMX6xNH70hE,https://api.spotify.com/v1/tracks/1Fid2jjqsHViMX6xNH70hE,https://api.spotify.com/v1/audio-analysis/1Fid2jjqsHViMX6xNH70hE,229173,4
Heat Waves,53,Glass Animals,Dreamland (+ Bonus Levels),238805,spotify:track:02MWAaffLxlfxAUY7c5dvx,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,audio_features,02MWAaffLxlfxAUY7c5dvx,spotify:track:02MWAaffLxlfxAUY7c5dvx,https://api.spotify.com/v1/tracks/02MWAaffLxlfxAUY7c5dvx,https://api.spotify.com/v1/audio-analysis/02MWAaffLxlfxAUY7c5dvx,238805,4
Fade Away,45,WYATT,Fade Away,300000,spotify:track:73aUnuj2x9KeKDgriFHQbc,0.654,0.704,2,-7.059,1,0.0351,0.00517,0.0565,0.0714,0.799,143.999,audio_features,73aUnuj2x9KeKDgriFHQbc,spotify:track:73aUnuj2x9KeKDgriFHQbc,https://api.spotify.com/v1/tracks/73aUnuj2x9KeKDgriFHQbc,https://api.spotify.com/v1/audio-analysis/73aUnuj2x9KeKDgriFHQbc,300000,4
Super Freaky Girl,80,Nicki Minaj,Super Freaky Girl,170977,spotify:track:4C6Uex2ILwJi9sZXRdmqXp,0.95,0.891,2,-2.653,1,0.241,0.0645,1.77e-05,0.309,0.912,133.01,audio_features,4C6Uex2ILwJi9sZXRdmqXp,spotify:track:4C6Uex2ILwJi9sZXRdmqXp,https://api.spotify.com/v1/tracks/4C6Uex2ILwJi9sZXRdmqXp,https://api.spotify.com/v1/audio-analysis/4C6Uex2ILwJi9sZXRdmqXp,170977,4
I Ain't Worried,94,OneRepublic,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",148485,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,audio_features,4h9wh7iOZ0GGn8QVp4RAOB,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,https://api.spotify.com/v1/tracks/4h9wh7iOZ0GGn8QVp4RAOB,https://api.spotify.com/v1/audio-analysis/4h9wh7iOZ0GGn8QVp4RAOB,148486,4
THE SHADE,82,Rex Orange County,WHO CARES?,181506,spotify:track:1gH1h30wkQdd9zhY3j7a8T,0.898,0.509,5,-7.973,1,0.062,0.391,0.0,0.0876,0.727,119.869,audio_features,1gH1h30wkQdd9zhY3j7a8T,spotify:track:1gH1h30wkQdd9zhY3j7a8T,https://api.spotify.com/v1/tracks/1gH1h30wkQdd9zhY3j7a8T,https://api.spotify.com/v1/audio-analysis/1gH1h30wkQdd9zhY3j7a8T,181507,4
Options,43,MAI TY,Options,131724,spotify:track:4TxpIGb6ke1k2pomLDL6Ph,0.721,0.596,11,-8.367,0,0.32,0.0269,0.0,0.0852,0.363,174.016,audio_features,4TxpIGb6ke1k2pomLDL6Ph,spotify:track:4TxpIGb6ke1k2pomLDL6Ph,https://api.spotify.com/v1/tracks/4TxpIGb6ke1k2pomLDL6Ph,https://api.spotify.com/v1/audio-analysis/4TxpIGb6ke1k2pomLDL6Ph,131724,4
As It Was,92,Harry Styles,As It Was,167303,spotify:track:4LRPiXqCikLlN15c3yImP7,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,audio_features,4LRPiXqCikLlN15c3yImP7,spotify:track:4LRPiXqCikLlN15c3yImP7,https://api.spotify.com/v1/tracks/4LRPiXqCikLlN15c3yImP7,https://api.spotify.com/v1/audio-analysis/4LRPiXqCikLlN15c3yImP7,167303,4
With you,26,reubencmg,With you,176000,spotify:track:4HftZQccFAnZ6lRvZOACZI,0.592,0.634,11,-9.866,1,0.321,0.584,4.69e-05,0.0934,0.886,89.578,audio_features,4HftZQccFAnZ6lRvZOACZI,spotify:track:4HftZQccFAnZ6lRvZOACZI,https://api.spotify.com/v1/tracks/4HftZQccFAnZ6lRvZOACZI,https://api.spotify.com/v1/audio-analysis/4HftZQccFAnZ6lRvZOACZI,176000,4
Mount Everest,83,Labrinth,Imagination & the Misfit Kid,157497,spotify:track:1ZdhOMWyFR8Iv9eylMGYg2,0.494,0.428,0,-7.239,0,0.205,0.236,0.0698,0.0816,0.44,87.724,audio_features,1ZdhOMWyFR8Iv9eylMGYg2,spotify:track:1ZdhOMWyFR8Iv9eylMGYg2,https://api.spotify.com/v1/tracks/1ZdhOMWyFR8Iv9eylMGYg2,https://api.spotify.com/v1/audio-analysis/1ZdhOMWyFR8Iv9eylMGYg2,157497,4
Side Effects,13,Matteo Germeno,Side Effects,199289,spotify:track:3BnYzxDBNw9I3YaQmVLS0A,0.552,0.665,1,-5.865,1,0.0309,0.00113,0.0,0.0815,0.522,127.036,audio_features,3BnYzxDBNw9I3YaQmVLS0A,spotify:track:3BnYzxDBNw9I3YaQmVLS0A,https://api.spotify.com/v1/tracks/3BnYzxDBNw9I3YaQmVLS0A,https://api.spotify.com/v1/audio-analysis/3BnYzxDBNw9I3YaQmVLS0A,199289,4
Rainfall (Praise You),78,Tom Santa,Rainfall (Praise You),166569,spotify:track:1M8t1j3Kv2qp97bdq5q4Vl,0.767,0.862,5,-5.464,0,0.0606,0.14,0.0092,0.252,0.509,128.039,audio_features,1M8t1j3Kv2qp97bdq5q4Vl,spotify:track:1M8t1j3Kv2qp97bdq5q4Vl,https://api.spotify.com/v1/tracks/1M8t1j3Kv2qp97bdq5q4Vl,https://api.spotify.com/v1/audio-analysis/1M8t1j3Kv2qp97bdq5q4Vl,166570,4
Pressure,31,Josiah & The Greater Good,Pressure,213095,spotify:track:5N7vf2JCOXTorINADED9K7,0.745,0.439,0,-11.719,1,0.113,0.276,0.0,0.121,0.75,127.011,audio_features,5N7vf2JCOXTorINADED9K7,spotify:track:5N7vf2JCOXTorINADED9K7,https://api.spotify.com/v1/tracks/5N7vf2JCOXTorINADED9K7,https://api.spotify.com/v1/audio-analysis/5N7vf2JCOXTorINADED9K7,213096,4
THATS WHAT I WANT,85,Lil Nas X,MONTERO,143901,spotify:track:0e8nrvls4Qqv5Rfa2UhqmO,0.737,0.846,1,-4.51,0,0.22,0.00614,0.0,0.0486,0.546,87.981,audio_features,0e8nrvls4Qqv5Rfa2UhqmO,spotify:track:0e8nrvls4Qqv5Rfa2UhqmO,https://api.spotify.com/v1/tracks/0e8nrvls4Qqv5Rfa2UhqmO,https://api.spotify.com/v1/audio-analysis/0e8nrvls4Qqv5Rfa2UhqmO,143901,4
BEEN A WHILE...,26,ARIIZ,BEEN A WHILE...,75000,spotify:track:74qrDuyYhys8y8xZdA3a4Q,0.506,0.64,9,-8.537,0,0.159,0.619,1.5e-06,0.0933,0.469,135.609,audio_features,74qrDuyYhys8y8xZdA3a4Q,spotify:track:74qrDuyYhys8y8xZdA3a4Q,https://api.spotify.com/v1/tracks/74qrDuyYhys8y8xZdA3a4Q,https://api.spotify.com/v1/audio-analysis/74qrDuyYhys8y8xZdA3a4Q,75000,5
Cool for the Summer - Sped Up (Nightcore),71,Demi Lovato,Cool for the Summer [Sped Up (Nightcore)],191912,spotify:track:4FYWOYqOF9lbb1JcZFDT67,0.561,0.599,2,-8.209,0,0.0749,0.00751,0.000701,0.316,0.264,125.874,audio_features,4FYWOYqOF9lbb1JcZFDT67,spotify:track:4FYWOYqOF9lbb1JcZFDT67,https://api.spotify.com/v1/tracks/4FYWOYqOF9lbb1JcZFDT67,https://api.spotify.com/v1/audio-analysis/4FYWOYqOF9lbb1JcZFDT67,191913,4
Ginseng Strip 2002,2,Yung Lean,Lavender,153999,spotify:track:79nEEoEPY2w8EXj9hjn5oc,0.601,0.712,1,-9.433,1,0.0431,0.0848,0.0,0.479,0.386,114.998,audio_features,79nEEoEPY2w8EXj9hjn5oc,spotify:track:79nEEoEPY2w8EXj9hjn5oc,https://api.spotify.com/v1/tracks/79nEEoEPY2w8EXj9hjn5oc,https://api.spotify.com/v1/audio-analysis/79nEEoEPY2w8EXj9hjn5oc,154000,4
FTP,39,Ama Millieir,FTP,148239,spotify:track:6MxuCcJaEMI218d9ltx7sN,0.486,0.641,4,-7.852,0,0.225,0.229,3.23e-06,0.113,0.425,81.286,audio_features,6MxuCcJaEMI218d9ltx7sN,spotify:track:6MxuCcJaEMI218d9ltx7sN,https://api.spotify.com/v1/tracks/6MxuCcJaEMI218d9ltx7sN,https://api.spotify.com/v1/audio-analysis/6MxuCcJaEMI218d9ltx7sN,148239,4
Enemy (with JID) - from the series Arcane League of Legends,83,Imagine Dragons,Enemy (with JID) [from the series Arcane League of Legends],173381,spotify:track:1r9xUipOqoNwggBpENDsvJ,0.728,0.783,11,-4.424,0,0.266,0.237,0.0,0.434,0.555,77.011,audio_features,1r9xUipOqoNwggBpENDsvJ,spotify:track:1r9xUipOqoNwggBpENDsvJ,https://api.spotify.com/v1/tracks/1r9xUipOqoNwggBpENDsvJ,https://api.spotify.com/v1/audio-analysis/1r9xUipOqoNwggBpENDsvJ,173381,4
INDUSTRY BABY (feat. Jack Harlow),84,Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),212000,spotify:track:27NovPIUIRrOZoCHxABJwK,0.736,0.704,3,-7.409,0,0.0615,0.0203,0.0,0.0501,0.894,149.995,audio_features,27NovPIUIRrOZoCHxABJwK,spotify:track:27NovPIUIRrOZoCHxABJwK,https://api.spotify.com/v1/tracks/27NovPIUIRrOZoCHxABJwK,https://api.spotify.com/v1/audio-analysis/27NovPIUIRrOZoCHxABJwK,212000,4
Rich Flex,90,Drake,Her Loss,239359,spotify:track:1bDbXMyjaUIooNwFE9wn0N,0.561,0.52,11,-9.342,0,0.244,0.0503,1.86e-06,0.355,0.424,153.15,audio_features,1bDbXMyjaUIooNwFE9wn0N,spotify:track:1bDbXMyjaUIooNwFE9wn0N,https://api.spotify.com/v1/tracks/1bDbXMyjaUIooNwFE9wn0N,https://api.spotify.com/v1/audio-analysis/1bDbXMyjaUIooNwFE9wn0N,239360,3
STAY (with Justin Bieber),29,The Kid LAROI,F*CK LOVE 3: OVER YOU,141805,spotify:track:5PjdY0CKGZdEuoNab3yDmX,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,audio_features,5PjdY0CKGZdEuoNab3yDmX,spotify:track:5PjdY0CKGZdEuoNab3yDmX,https://api.spotify.com/v1/tracks/5PjdY0CKGZdEuoNab3yDmX,https://api.spotify.com/v1/audio-analysis/5PjdY0CKGZdEuoNab3yDmX,141806,4
ViRUS,30,Deacon,A NEW EARTH,215133,spotify:track:3LOrH2ISwClqDT52R6D81F,0.669,0.615,1,-6.044,1,0.148,0.353,0.0,0.117,0.453,144.038,audio_features,3LOrH2ISwClqDT52R6D81F,spotify:track:3LOrH2ISwClqDT52R6D81F,https://api.spotify.com/v1/tracks/3LOrH2ISwClqDT52R6D81F,https://api.spotify.com/v1/audio-analysis/3LOrH2ISwClqDT52R6D81F,215133,4
TO THE MOON,74,JNR CHOI,TO THE MOON,152137,spotify:track:5vUnjhBzRJJIAOJPde6zDx,0.745,0.65,2,-11.814,1,0.346,0.0451,0.00758,0.111,0.386,144.047,audio_features,5vUnjhBzRJJIAOJPde6zDx,spotify:track:5vUnjhBzRJJIAOJPde6zDx,https://api.spotify.com/v1/tracks/5vUnjhBzRJJIAOJPde6zDx,https://api.spotify.com/v1/audio-analysis/5vUnjhBzRJJIAOJPde6zDx,152137,4
Running Up That Hill (A Deal With God),40,Kate Bush,Hounds Of Love,298933,spotify:track:75FEaRjZTKLhTrFGsfMUXR,0.629,0.547,10,-13.123,0,0.055,0.72,0.00314,0.0604,0.197,108.375,audio_features,75FEaRjZTKLhTrFGsfMUXR,spotify:track:75FEaRjZTKLhTrFGsfMUXR,https://api.spotify.com/v1/tracks/75FEaRjZTKLhTrFGsfMUXR,https://api.spotify.com/v1/audio-analysis/75FEaRjZTKLhTrFGsfMUXR,298933,4
Forever,75,Labrinth,Euphoria (Original Score from the HBO Series),202536,spotify:track:6potEImiklXkwD9qFzpu15,0.563,0.459,4,-7.781,0,0.0292,0.92,0.724,0.11,0.197,79.983,audio_features,6potEImiklXkwD9qFzpu15,spotify:track:6potEImiklXkwD9qFzpu15,https://api.spotify.com/v1/tracks/6potEImiklXkwD9qFzpu15,https://api.spotify.com/v1/audio-analysis/6potEImiklXkwD9qFzpu15,202536,4
Love to Hate,39,Sumner Stroh,Love to Hate,195483,spotify:track:2e8T2mqDXpqc8X1PUr6TCR,0.753,0.437,7,-7.603,1,0.055,0.00188,6.75e-05,0.711,0.526,123.979,audio_features,2e8T2mqDXpqc8X1PUr6TCR,spotify:track:2e8T2mqDXpqc8X1PUr6TCR,https://api.spotify.com/v1/tracks/2e8T2mqDXpqc8X1PUr6TCR,https://api.spotify.com/v1/audio-analysis/2e8T2mqDXpqc8X1PUr6TCR,195484,4
Them Changes - Sped Up,69,Thundercat,Them Changes (Sped Up),135115,spotify:track:6pod2VRHVTven17Da0uZHi,0.815,0.658,2,-7.811,1,0.0464,0.557,0.322,0.114,0.871,114.326,audio_features,6pod2VRHVTven17Da0uZHi,spotify:track:6pod2VRHVTven17Da0uZHi,https://api.spotify.com/v1/tracks/6pod2VRHVTven17Da0uZHi,https://api.spotify.com/v1/audio-analysis/6pod2VRHVTven17Da0uZHi,135116,4
Players,88,Coi Leray,Players,139560,spotify:track:6UN73IYd0hZxLi8wFPMQij,0.954,0.516,6,-5.817,1,0.16,0.03,7.54e-06,0.0504,0.624,105.001,audio_features,6UN73IYd0hZxLi8wFPMQij,spotify:track:6UN73IYd0hZxLi8wFPMQij,https://api.spotify.com/v1/tracks/6UN73IYd0hZxLi8wFPMQij,https://api.spotify.com/v1/audio-analysis/6UN73IYd0hZxLi8wFPMQij,139560,4
Say It Right,39,Aux Control,Say It Right,187619,spotify:track:4aFbOpAANnsX2QXes3CrG2,0.767,0.82,7,-6.47,0,0.0398,0.00308,0.0,0.0854,0.226,125.991,audio_features,4aFbOpAANnsX2QXes3CrG2,spotify:track:4aFbOpAANnsX2QXes3CrG2,https://api.spotify.com/v1/tracks/4aFbOpAANnsX2QXes3CrG2,https://api.spotify.com/v1/audio-analysis/4aFbOpAANnsX2QXes3CrG2,187619,4
Nothing,6,Bruno Major,To Let A Good Thing Die,162797,spotify:track:2IAR0DziHCjSu16gR4ihvy,0.555,0.27,2,-15.892,1,0.0884,0.931,0.536,0.103,0.274,139.691,audio_features,2IAR0DziHCjSu16gR4ihvy,spotify:track:2IAR0DziHCjSu16gR4ihvy,https://api.spotify.com/v1/tracks/2IAR0DziHCjSu16gR4ihvy,https://api.spotify.com/v1/audio-analysis/2IAR0DziHCjSu16gR4ihvy,162797,3
Detox,68,Lil Baby,Detox,161636,spotify:track:7fSM2taFBEB1WNZl8AOIoo,0.845,0.503,1,-7.021,1,0.334,0.027,0.0,0.116,0.416,147.031,audio_features,7fSM2taFBEB1WNZl8AOIoo,spotify:track:7fSM2taFBEB1WNZl8AOIoo,https://api.spotify.com/v1/tracks/7fSM2taFBEB1WNZl8AOIoo,https://api.spotify.com/v1/audio-analysis/7fSM2taFBEB1WNZl8AOIoo,161637,4
Litter Me,48,Teemanay,Litter Me,152887,spotify:track:59cOY76a8mIcVVQ3BiGqzi,0.766,0.693,2,-7.606,1,0.082,0.0981,0.011,0.0861,0.36,100.03,audio_features,59cOY76a8mIcVVQ3BiGqzi,spotify:track:59cOY76a8mIcVVQ3BiGqzi,https://api.spotify.com/v1/tracks/59cOY76a8mIcVVQ3BiGqzi,https://api.spotify.com/v1/audio-analysis/59cOY76a8mIcVVQ3BiGqzi,152887,4
Those Eyes,91,New West,Those Eyes,220750,spotify:track:50x1Ic8CaXkYNvjmxe3WXy,0.593,0.352,4,-8.296,1,0.0284,0.695,2.22e-05,0.3,0.226,119.988,audio_features,50x1Ic8CaXkYNvjmxe3WXy,spotify:track:50x1Ic8CaXkYNvjmxe3WXy,https://api.spotify.com/v1/tracks/50x1Ic8CaXkYNvjmxe3WXy,https://api.spotify.com/v1/audio-analysis/50x1Ic8CaXkYNvjmxe3WXy,220750,3
Meet Me At Our Spot - Live,65,THE ANXIETY,Meet Me At Our Spot (Live),147828,spotify:track:3BrWLBC4WYx393yRUOlTih,0.694,0.475,2,-7.035,1,0.0345,0.159,3.9e-06,0.103,0.391,94.987,audio_features,3BrWLBC4WYx393yRUOlTih,spotify:track:3BrWLBC4WYx393yRUOlTih,https://api.spotify.com/v1/tracks/3BrWLBC4WYx393yRUOlTih,https://api.spotify.com/v1/audio-analysis/3BrWLBC4WYx393yRUOlTih,147829,4
SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),0,Amaarae,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),204763,spotify:track:15HMh4yxdf4wyxSZSlOgGZ,0.859,0.525,1,-8.051,0,0.0592,0.434,2.34e-05,0.108,0.312,110.066,audio_features,15HMh4yxdf4wyxSZSlOgGZ,spotify:track:15HMh4yxdf4wyxSZSlOgGZ,https://api.spotify.com/v1/tracks/15HMh4yxdf4wyxSZSlOgGZ,https://api.spotify.com/v1/audio-analysis/15HMh4yxdf4wyxSZSlOgGZ,204764,4
